,Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed
30775,>35,Undergraduate,Woman,Dev,15,10,113447.0,11,0
30776,<35,Master,Man,Dev,15,7,30192.0,12,0
30777,>35,Other,Man,Dev,25,23,24720.0,36,1
30778,>35,Undergraduate,Man,Dev,6,3,81000.0,14,1
30779,>35,PhD,Man,NotDev,20,15,123000.0,5,0
30780,<35,Master,Man,Dev,11,8,24648.0,14,1
30781,<35,Undergraduate,Man,Dev,11,5,10584.0,17,1
30782,>35,Master,Man,Dev,22,19,66060.0,7,0
30783,<35,Undergraduate,Man,Dev,7,4,10224.0,17,1
30784,>35,Master,Man,NotDev,20,5,92000.0,6,0
30785,>35,Master,Man,NotDev,21,17,44172.0,17,1
30786,>35,Undergraduate,Man,Dev,26,26,112000.0,15,1
30787,<35,Master,Man,Dev,14,2,68102.0,8,0
30788,<35,Other,Man,Dev,7,0,25296.0,8,0
30789,<35,Other,Man,Dev,5,0,23267.0,11,0
30790,<35,Undergraduate,Man,Dev,14,4,59712.0,5,0
30791,<35,Master,Man,Dev,12,7,47500.0,26,1
30792,>35,Master,Man,Dev,20,15,81074.0,14,0
30793,<35,Other,Man,Dev,14,12,51408.0,8,0
30794,<35,PhD,Man,NotDev,12,8,32424.0,4,0
30795,<35,Other,Man,Dev,9,6,75669.0,21,1
30796,>35,Undergraduate,Man,Dev,25,18,180000.0,17,1
30797,<35,Undergraduate,Woman,NotDev,15,2,19724.0,4,0
30798,>35,Undergraduate,Man,Dev,18,15,87000.0,13,1
30799,>35,Undergraduate,Man,Dev,25,20,14868.0,11,1
30800,>35,Master,Man,Dev,30,19,145000.0,5,0
30801,>35,Master,Man,Dev,43,35,140000.0,16,0
30802,>35,Undergraduate,Man,Dev,20,14,125757.0,8,0
30803,>35,Master,Man,Dev,24,19,160000.0,15,1
30804,<35,NoHigherEd,Man,NotDev,13,3,45401.0,20,1
30805,>35,Other,Man,Dev,14,11,28800.0,30,1
30806,>35,Other,Man,Dev,12,7,110000.0,12,0
30807,>35,Other,Man,Dev,24,8,89929.0,9,0
30808,<35,Undergraduate,Man,Dev,5,1,96000.0,10,0
30809,<35,Undergraduate,Man,Dev,10,6,143699.0,16,1
30810,<35,Undergraduate,Man,Dev,5,3,116000.0,16,0
30811,<35,Other,Man,Dev,10,3,13740.0,23,1
30812,>35,Other,Man,Dev,30,18,82438.0,5,0
30813,<35,Undergraduate,Man,Dev,13,9,67215.0,6,0
30814,<35,Other,Man,NotDev,22,13,86606.0,9,0
30815,<35,Undergraduate,Man,Dev,9,3,49296.0,6,0
30816,>35,Other,Man,NotDev,14,8,42528.0,17,1
30817,>35,Undergraduate,Man,Dev,12,11,12000.0,17,1
30818,>35,Other,NonBinary,Dev,16,12,185000.0,7,0
30819,>35,Other,Man,Dev,10,8,36000.0,15,1
30820,<35,Master,Man,Dev,8,5,122796.0,14,0
30821,>35,Undergraduate,Man,Dev,16,10,161100.0,6,0
30822,>35,Other,Man,NotDev,7,4,56211.0,15,0
30823,>35,Undergraduate,Man,Dev,12,4,57003.0,15,0
30824,>35,Master,Man,Dev,17,11,48644.0,12,0
30825,>35,Undergraduate,Man,Dev,5,3,60000.0,11,0
30826,>35,Undergraduate,Man,Dev,20,17,84707.0,13,1
30827,<35,Other,Man,Dev,12,4,49765.0,9,0
30828,>35,Undergraduate,Man,Dev,30,20,120000.0,16,1
30829,>35,Other,Man,Dev,8,7,49185.0,22,0
30830,>35,Other,Man,Dev,21,15,120000.0,16,1
30831,<35,Undergraduate,Man,Dev,7,4,14592.0,21,1
30832,>35,Other,Man,Dev,25,15,205000.0,21,1
30833,>35,Other,Man,Dev,41,32,200000.0,8,0
30834,>35,PhD,Man,Dev,15,12,175000.0,14,0
30835,<35,Undergraduate,Man,Dev,6,2,6000.0,18,1
30836,<35,Undergraduate,NonBinary,Dev,8,5,69581.0,16,1
30837,>35,Master,Man,Dev,28,15,135000.0,17,0
30838,<35,Undergraduate,Man,Dev,8,5,60000.0,19,1
30839,>35,PhD,Man,Dev,20,15,97308.0,6,0
30840,>35,Undergraduate,Man,Dev,24,21,54972.0,13,0
30841,>35,Undergraduate,Man,Dev,18,11,120000.0,13,0
30842,>35,Other,Man,Dev,18,17,84000.0,14,0
30843,>35,Other,Man,NotDev,20,10,72000.0,21,1
30844,<35,Other,Man,Dev,6,3,16524.0,8,0
