,Age,EdLevel,MentalHealth,MainBranch,YearsCode,YearsCodePro,custom_employment
237,<35,Undergraduate,Yes,Dev,6,4,1
238,<35,Undergraduate,No,Dev,8,4,0
239,<35,Master,No,Dev,7,6,1
240,<35,Master,No,Dev,11,7,1
241,>35,Undergraduate,Yes,NotDev,22,4,1
242,<35,Undergraduate,No,Dev,6,1,1
243,>35,Undergraduate,No,Dev,20,18,1
244,>35,Master,No,Dev,35,30,1
245,<35,Other,Yes,Dev,12,5,0
246,<35,Master,No,Dev,6,2,1
247,<35,Undergraduate,No,Dev,5,3,1
248,<35,Undergraduate,No,Dev,10,4,0
249,>35,Other,No,Dev,20,10,1
250,<35,Master,No,Dev,15,12,1
251,<35,Undergraduate,Yes,Dev,9,5,1
252,<35,Undergraduate,No,Dev,8,5,1
253,<35,Undergraduate,No,Dev,8,4,1
254,>35,Undergraduate,Yes,Dev,21,19,1
255,>35,Other,No,Dev,18,17,0
256,>35,PhD,No,NotDev,25,20,1
257,>35,Undergraduate,No,Dev,20,15,1
258,<35,Master,No,Dev,9,6,1
259,<35,Undergraduate,No,Dev,10,3,0
260,<35,Master,No,Dev,12,7,1
261,<35,Undergraduate,Yes,Dev,10,3,1
262,<35,Master,No,Dev,12,9,1
263,>35,Undergraduate,Yes,Dev,28,20,0
264,<35,Undergraduate,Yes,Dev,3,2,0
265,<35,Undergraduate,No,Dev,18,11,1
266,>35,PhD,No,Dev,39,35,1
267,<35,Undergraduate,No,Dev,15,9,1
268,<35,Master,No,Dev,7,2,0
269,<35,Undergraduate,No,Dev,11,3,0
270,<35,Undergraduate,No,Dev,16,12,1
271,<35,Undergraduate,No,Dev,6,3,0
272,<35,Master,No,Dev,15,6,1
273,<35,Other,No,Dev,6,2,0
274,>35,Master,Yes,Dev,40,21,1
275,>35,PhD,No,Dev,30,10,1
276,<35,Undergraduate,No,Dev,14,8,1
277,<35,Undergraduate,No,Dev,6,3,0
278,<35,Other,No,Dev,6,2,0
279,>35,Master,No,Dev,10,8,1
280,<35,Undergraduate,No,Dev,3,1,0
281,>35,Undergraduate,No,Dev,20,13,1
282,<35,Master,No,Dev,5,4,1
283,>35,Other,No,Dev,23,13,1
284,>35,Other,No,Dev,33,15,1
285,<35,Undergraduate,Yes,Dev,20,6,1
286,<35,Undergraduate,No,Dev,13,8,1
287,>35,Undergraduate,No,Dev,16,12,1
288,<35,Master,No,Dev,12,6,1
289,<35,Undergraduate,No,Dev,10,8,0
290,>35,Undergraduate,No,Dev,22,8,1
291,<35,Undergraduate,No,Dev,1,Less than 1 year,0
292,<35,Master,No,NotDev,12,5,1
293,>35,Undergraduate,No,Dev,30,21,1
294,>35,Master,Yes,Dev,22,7,1
295,>35,Master,No,Dev,30,17,1
296,>35,Other,No,Dev,20,17,1
297,<35,Master,Yes,NotDev,13,5,0
298,<35,Undergraduate,No,Dev,3,Less than 1 year,0
299,>35,Undergraduate,No,NotDev,25,19,1
300,<35,Undergraduate,No,Dev,17,10,1
301,>35,Other,Yes,Dev,14,10,1
302,<35,Other,No,Dev,13,10,0
303,<35,Other,No,Dev,4,Less than 1 year,0
304,<35,Master,Yes,NotDev,13,4,1
305,<35,Master,No,Dev,9,5,0
306,<35,Other,No,Dev,8,5,1
307,>35,Other,No,Dev,34,25,1
308,<35,Master,No,Dev,3,3,0
309,<35,Master,No,Dev,12,6,1
310,<35,Undergraduate,No,Dev,9,5,0
311,<35,Undergraduate,Yes,Dev,4,Less than 1 year,0
312,<35,Undergraduate,Yes,Dev,11,7,1
313,<35,Other,No,Dev,13,8,1
314,<35,Undergraduate,No,Dev,16,7,1
315,>35,Undergraduate,No,Dev,40,25,1
316,<35,Master,No,Dev,17,10,0
317,>35,Other,No,Dev,21,18,1
318,>35,Master,Yes,NotDev,27,7,1
319,<35,Master,No,Dev,13,6,1
320,<35,Undergraduate,No,Dev,8,3,0
321,>35,Undergraduate,No,Dev,36,25,1
322,<35,Undergraduate,No,Dev,11,2,0
323,<35,Undergraduate,Yes,Dev,17,10,1
324,<35,Other,No,Dev,13,4,0
325,<35,Undergraduate,No,Dev,3,1,1
326,<35,PhD,No,Dev,12,10,1
327,<35,Other,No,Dev,25,15,1
328,<35,Other,No,Dev,4,2,0
329,<35,Other,No,Dev,4,3,1
330,>35,Undergraduate,No,NotDev,25,5,1
331,<35,Undergraduate,No,Dev,15,9,1
